"Date","BMRI.JK.Adjusted","JKSE.Adjusted"
2022-02-23,3090.87060546875,6920.05615234375
2022-02-24,3022.18481445312,6817.81982421875
2022-02-25,3022.18481445312,6888.1708984375
2022-03-01,3002.56005859375,6921.44091796875
2022-03-02,2992.74780273438,6868.40185546875
2022-03-04,3002.56005859375,6928.328125
2022-03-07,2963.31127929688,6869.06591796875
2022-03-08,2963.31127929688,6814.18310546875
2022-03-09,2992.74780273438,6864.44091796875
2022-03-10,3012.37280273438,6924.0078125
2022-03-11,3002.56005859375,6922.60205078125
2022-03-14,3041.80908203125,6952.2041015625
2022-03-15,3051.62158203125,6918.18505859375
2022-03-16,3120.30786132812,6992.39501953125
2022-03-17,3120.30786132812,6964.384765625
2022-03-18,3110.49536132812,6954.96484375
2022-03-21,3145.70922851562,6955.18115234375
2022-03-22,3155.98901367188,7000.82177734375
2022-03-23,3197.10961914062,6996.115234375
2022-03-24,3258.7900390625,7049.68505859375
2022-03-25,3227.94970703125,7002.5322265625
2022-03-28,3238.22998046875,7049.60302734375
2022-03-29,3258.7900390625,7011.68896484375
2022-03-30,3238.22998046875,7053.18994140625
2022-03-31,3248.51000976562,7071.44189453125
2022-04-01,3238.22998046875,7078.759765625
2022-04-04,3217.66967773438,7116.2177734375
2022-04-05,3217.66967773438,7148.298828125
2022-04-06,3155.98901367188,7104.2158203125
2022-04-07,3166.26928710938,7127.3671875
2022-04-08,3166.26928710938,7210.8349609375
2022-04-11,3155.98901367188,7203.7939453125
2022-04-12,3166.26928710938,7214.78076171875
2022-04-13,3176.54931640625,7262.77685546875
2022-04-14,3155.98901367188,7235.5322265625
2022-04-18,3135.42895507812,7275.2890625
2022-04-19,3114.86865234375,7199.23193359375
2022-04-20,3227.94970703125,7227.36181640625
2022-04-21,3412.99145507812,7276.19287109375
2022-04-22,3402.71166992188,7225.60595703125
2022-04-25,3382.1513671875,7215.97900390625
2022-04-26,3433.55151367188,7232.15283203125
2022-04-27,3382.1513671875,7196.76416015625
2022-04-28,3680.27368164062,7228.9140625
2022-05-09,3423.271484375,6909.7509765625
2022-05-10,3330.75073242188,6819.7939453125
2022-05-11,3289.63061523438,6816.203125
2022-05-12,3238.22998046875,6599.83984375
2022-05-13,3207.38940429688,6597.9931640625
2022-05-17,3227.94970703125,6644.466796875
2022-05-18,3248.51000976562,6793.4140625
2022-05-19,3248.51000976562,6823.3349609375
2022-05-20,3289.63061523438,6918.14404296875
2022-05-23,3238.22998046875,6840.77490234375
2022-05-24,3258.7900390625,6914.14111328125
2022-05-25,3227.94970703125,6883.50390625
2022-05-27,3330.75073242188,7026.255859375
2022-05-30,3371.87109375,7037.56494140625
2022-05-31,3495.232421875,7148.97021484375
2022-06-02,3371.87109375,7148.72314453125
2022-06-03,3371.87109375,7182.9609375
2022-06-06,3351.31103515625,7096.58203125
2022-06-07,3412.99145507812,7141.044921875
2022-06-08,3454.11181640625,7193.31396484375
2022-06-09,3464.39184570312,7182.830078125
2022-06-10,3361.59106445312,7086.64794921875
2022-06-13,3330.75073242188,6995.44189453125
2022-06-14,3371.87109375,7049.8818359375
2022-06-15,3412.99145507812,7007.0498046875
2022-06-16,3443.83178710938,7050.326171875
2022-06-17,3320.47045898438,6936.966796875
2022-06-20,3392.43139648438,6976.376953125
